=== EMOJI SCAN RESULTS ===
EMOJI: ‍ | HEX: \U0000200D | NAME: ZERO WIDTH JOINER | FILES: 1 (services\spawn_service.py)
EMOJI: ℹ | HEX: \U00002139 | NAME: INFORMATION SOURCE | FILES: 1 (handlers\admin.py)
EMOJI: ⌛ | HEX: \U0000231B | NAME: HOURGLASS | FILES: 2 (handlers\admin.py, handlers\games.py)
EMOJI: ⏱ | HEX: \U000023F1 | NAME: STOPWATCH | FILES: 3 (handlers\admin.py, handlers\catch.py, utils\emoji_patch.py)
EMOJI: ⏳ | HEX: \U000023F3 | NAME: HOURGLASS WITH FLOWING SAND | FILES: 3 (handlers\games.py, utils\emoji_patch.py, services\economy.py)
EMOJI: ━ | HEX: \U00002501 | NAME: BOX DRAWINGS HEAVY HORIZONTAL | FILES: 1 (handlers\profile.py)
EMOJI: ├ | HEX: \U0000251C | NAME: BOX DRAWINGS LIGHT VERTICAL AND RIGHT | FILES: 2 (handlers\profile.py, handlers\start.py)
EMOJI: ┣ | HEX: \U00002523 | NAME: BOX DRAWINGS HEAVY VERTICAL AND RIGHT | FILES: 1 (handlers\profile.py)
EMOJI: ╭ | HEX: \U0000256D | NAME: BOX DRAWINGS LIGHT ARC DOWN AND RIGHT | FILES: 2 (handlers\profile.py, handlers\start.py)
EMOJI: ╰ | HEX: \U00002570 | NAME: BOX DRAWINGS LIGHT ARC UP AND RIGHT | FILES: 2 (handlers\profile.py, handlers\start.py)
EMOJI: █ | HEX: \U00002588 | NAME: FULL BLOCK | FILES: 3 (handlers\battle.py, handlers\games.py, utils\formatters.py)
EMOJI: ░ | HEX: \U00002591 | NAME: LIGHT SHADE | FILES: 3 (handlers\battle.py, handlers\games.py, utils\formatters.py)
EMOJI: ▰ | HEX: \U000025B0 | NAME: BLACK PARALLELOGRAM | FILES: 2 (handlers\profile.py, handlers\start.py)
EMOJI: ▱ | HEX: \U000025B1 | NAME: WHITE PARALLELOGRAM | FILES: 2 (handlers\profile.py, handlers\start.py)
EMOJI: ▶ | HEX: \U000025B6 | NAME: BLACK RIGHT-POINTING TRIANGLE | FILES: 1 (handlers\profile.py)
EMOJI: ◆ | HEX: \U000025C6 | NAME: BLACK DIAMOND | FILES: 1 (handlers\profile.py)
EMOJI: ♂ | HEX: \U00002642 | NAME: MALE SIGN | FILES: 1 (services\spawn_service.py)
EMOJI: ⚔ | HEX: \U00002694 | NAME: CROSSED SWORDS | FILES: 4 (handlers\battle.py, handlers\start.py, handlers\xo.py)
EMOJI: ⚙ | HEX: \U00002699 | NAME: GEAR | FILES: 2 (handlers\admin.py, handlers\start.py)
EMOJI: ⚠ | HEX: \U000026A0 | NAME: WARNING SIGN | FILES: 18 (handlers\admin.py, handlers\battle.py, handlers\catch.py)
EMOJI: ⚡ | HEX: \U000026A1 | NAME: HIGH VOLTAGE SIGN | FILES: 7 (handlers\admin.py, handlers\profile.py, handlers\shop.py)
EMOJI: ⚪ | HEX: \U000026AA | NAME: MEDIUM WHITE CIRCLE | FILES: 3 (handlers\profile.py, handlers\start.py, utils\formatters.py)
EMOJI: ⛔ | HEX: \U000026D4 | NAME: NO ENTRY | FILES: 3 (handlers\catch.py, handlers\profile.py, utils\emoji_patch.py)
EMOJI: ✅ | HEX: \U00002705 | NAME: WHITE HEAVY CHECK MARK | FILES: 9 (handlers\admin.py, handlers\battle.py, handlers\profile.py)
EMOJI: ✉ | HEX: \U00002709 | NAME: ENVELOPE | FILES: 1 (handlers\admin.py)
EMOJI: ✊ | HEX: \U0000270A | NAME: RAISED FIST | FILES: 1 (handlers\games.py)
EMOJI: ✋ | HEX: \U0000270B | NAME: RAISED HAND | FILES: 1 (handlers\games.py)
EMOJI: ✌ | HEX: \U0000270C | NAME: VICTORY HAND | FILES: 1 (handlers\games.py)
EMOJI: ✏ | HEX: \U0000270F | NAME: PENCIL | FILES: 3 (handlers\games.py, handlers\start.py, utils\emoji_patch.py)
EMOJI: ✨ | HEX: \U00002728 | NAME: SPARKLES | FILES: 14 (handlers\admin.py, handlers\battle.py, handlers\catch.py)
EMOJI: ❌ | HEX: \U0000274C | NAME: CROSS MARK | FILES: 13 (handlers\admin.py, handlers\battle.py, handlers\catch.py)
EMOJI: ❓ | HEX: \U00002753 | NAME: BLACK QUESTION MARK ORNAMENT | FILES: 4 (handlers\games.py, handlers\mines.py, handlers\start.py)
EMOJI: ❤ | HEX: \U00002764 | NAME: HEAVY BLACK HEART | FILES: 1 (utils\formatters.py)
